"id";"name";"brand";"category";"ref";"price";"cost";"sizes";"image";"color";"stock";"note";"source"
"5788";"ADIDAS SUPER STAR HOMBRE $85.000";"Adidas";"Hombre";"";"85000";"0";"880";"IMG-20260331-WA0402.jpg";"";"0";"";"SUMBAWA"
"5789";"FOR ONE CHAROL  DAMA";"";"Mujer";"";"80000";"0";"745";"IMG-20260331-WA0406.jpg";"";"0";"";"SUMBAWA"
"5790";"FOR ONE CHAROL  DAMA $80.000";"";"Mujer";"";"80000";"0";"744";"IMG-20260331-WA0407.jpg";"";"0";"";"SUMBAWA"
"5791";"LECOQ SPORTIF CABALLERO";"";"Hombre";"";"65000";"0";"464";"IMG-20260331-WA0408.jpg";"";"0";"";"SUMBAWA"
"5792";"ADIDAS SPER STAR  DAMA";"Adidas";"Mujer";"";"85000";"0";"938";"IMG-20260319-WA0606.jpg";"";"0";"";"SUMBAWA"
"5793";"LACOSTE HOMBRE";"Lacoste";"Hombre";"";"85000";"0";"702";"IMG-20260331-WA0411.jpg";"";"0";"";"SUMBAWA"
"5794";"ADIDAS SUPER STAR DAMA";"Adidas";"Mujer";"";"85000";"0";"877";"IMG-20260331-WA0412.jpg";"";"0";"";"SUMBAWA"
"5795";"ADIDAS SUPER STAR HOMBRE $85.000";"Adidas";"Hombre";"";"85000";"0";"878";"IMG-20260318-WA0728.jpg";"";"0";"";"SUMBAWA"
"5796";"ADIDAS SUPER STAR DAMA";"Adidas";"Mujer";"";"85000";"0";"875";"IMG-20260331-WA0413.jpg";"";"0";"";"SUMBAWA"
"5797";"ADIDAS SUPER STAR HOMBRE";"Adidas";"Hombre";"";"85000";"0";"874";"IMG-20260331-WA0414.jpg";"";"0";"";"SUMBAWA"
"5798";"TIMBERLAND HOMBRE";"Timberland";"Hombre";"";"95000";"0";"788";"IMG-20260331-WA0415.jpg";"";"0";"";"SUMBAWA"
"5799";"NIKE AIR MAX PLUS CABALLERO";"Nike";"Hombre";"";"95000";"0";"895";"IMG-20260331-WA0416.jpg";"";"0";"";"SUMBAWA"
"5800";"ADIDAS FORUM HOMBRE";"Adidas";"Hombre";"";"85000";"0";"929";"IMG-20260326-WA0807.jpg";"";"0";"";"SUMBAWA"
"5801";"DIESEL CABALLERO $95.000";"";"Hombre";"";"95000";"0";"767";"IMG-20260318-WA0008.jpg";"";"0";"";"SUMBAWA"
"5802";"DIESEL CABALLERO $95.000";"";"Hombre";"";"95000";"0";"768";"IMG-20260318-WA0009.jpg";"";"0";"";"SUMBAWA"
"5803";"JONDAN RETRO 1 DAMA";"";"Mujer";"";"85000";"0";"785";"IMG-20260331-WA0417.jpg";"";"0";"";"SUMBAWA"
"5804";"REEBOK CLASIC LEATHER CABALLERO";"Reebok";"Hombre";"";"90000";"0";"832";"IMG-20260331-WA0418.jpg";"";"0";"";"SUMBAWA"
"5805";"REEBOK CLASIC LEATHER CABALLERO";"Reebok";"Hombre";"";"90000";"0";"831";"IMG-20260331-WA0419.jpg";"";"0";"";"SUMBAWA"
"5806";"REEBOK CLASIC LEATHER CABALLERO";"Reebok";"Hombre";"";"90000";"0";"830";"IMG-20260331-WA0420.jpg";"";"0";"";"SUMBAWA"
"5807";"NIKE TN HOMBRE $85.000";"Nike";"Hombre";"";"85000";"0";"739";"IMG-20260326-WA0820.jpg";"";"0";"";"SUMBAWA"
"5808";"NIKE TN HOMBRE $85.000";"Nike";"Hombre";"";"85000";"0";"743";"IMG-20260326-WA0809.jpg";"";"0";"";"SUMBAWA"
